simulation,burned_area,duration,wind_speed,wind_direction
1,467,75,30,N
2,682,87,30,N
3,663,87,30,N
4,765,87,30,N
5,614,90,30,N
6,433,93,30,N
7,481,78,30,N
8,486,84,30,N
9,2,2,30,N
10,474,104,30,N
11,475,88,30,N
12,476,85,30,N
13,415,87,30,N
14,429,79,30,N
15,801,97,30,N
16,595,79,30,N
17,702,88,30,N
18,629,88,30,N
19,612,89,30,N
20,582,86,30,N
21,623,82,30,N
22,768,88,30,N
23,463,73,30,N
24,699,91,30,N
25,670,88,30,N
26,677,90,30,N
27,348,72,30,N
28,609,94,30,N
29,724,90,30,N
30,461,106,30,N
31,550,77,30,N
32,473,87,30,N
33,537,100,30,N
34,388,73,30,N
35,406,70,30,N
36,2,2,30,N
37,432,79,30,N
38,475,95,30,N
39,736,89,30,N
40,771,97,30,N
41,348,78,30,N
42,620,93,30,N
43,660,89,30,N
44,599,89,30,N
45,388,83,30,N
46,710,91,30,N
47,444,76,30,N
48,618,86,30,N
49,782,92,30,N
50,653,93,30,N
