simulation,burned_area,duration,wind_speed,wind_direction
1,416,87,20,N
2,436,78,20,N
3,734,92,20,N
4,421,87,20,N
5,363,68,20,N
6,370,81,20,N
7,661,89,20,N
8,382,69,20,N
9,452,86,20,N
10,413,87,20,N
11,671,80,20,N
12,740,89,20,N
13,642,80,20,N
14,630,78,20,N
15,400,85,20,N
16,402,70,20,N
17,672,96,20,N
18,740,90,20,N
19,474,97,20,N
20,722,88,20,N
21,661,90,20,N
22,458,110,20,N
23,795,94,20,N
24,494,92,20,N
25,399,84,20,N
26,402,78,20,N
27,399,97,20,N
28,435,75,20,N
29,591,78,20,N
30,587,81,20,N
31,489,83,20,N
32,614,88,20,N
33,438,82,20,N
34,480,85,20,N
35,703,88,20,N
36,698,87,20,N
37,382,74,20,N
38,448,94,20,N
39,689,86,20,N
40,484,93,20,N
41,465,79,20,N
42,599,87,20,N
43,653,91,20,N
44,460,76,20,N
45,633,86,20,N
46,677,89,20,N
47,764,91,20,N
48,425,77,20,N
49,614,87,20,N
50,413,76,20,N
