simulation,burned_area,duration,wind_speed,wind_direction
1,655,92,10,N
2,489,105,10,N
3,528,93,10,N
4,453,82,10,N
5,508,106,10,N
6,419,99,10,N
7,761,90,10,N
8,598,90,10,N
9,662,86,10,N
10,80,29,10,N
11,568,106,10,N
12,356,72,10,N
13,718,98,10,N
14,402,87,10,N
15,385,75,10,N
16,589,89,10,N
17,368,92,10,N
18,790,102,10,N
19,727,100,10,N
20,403,75,10,N
21,445,92,10,N
22,779,95,10,N
23,469,83,10,N
24,667,90,10,N
25,706,92,10,N
26,593,83,10,N
27,687,88,10,N
28,311,90,10,N
29,586,97,10,N
30,502,107,10,N
31,740,89,10,N
32,546,93,10,N
33,470,83,10,N
34,474,107,10,N
35,70,23,10,N
36,588,94,10,N
37,490,95,10,N
38,441,88,10,N
39,509,85,10,N
40,477,86,10,N
41,745,91,10,N
42,464,76,10,N
43,423,86,10,N
44,474,93,10,N
45,400,84,10,N
46,478,103,10,N
47,396,103,10,N
48,696,92,10,N
49,625,88,10,N
50,424,107,10,N
