simulation,burned_area,duration,wind_speed,wind_direction
1,746,99,5,N
2,503,97,5,N
3,518,121,5,N
4,600,114,5,N
5,560,83,5,N
6,722,107,5,N
7,780,107,5,N
8,791,107,5,N
9,901,124,5,N
10,1072,129,5,N
11,977,155,5,N
12,980,143,5,N
13,850,101,5,N
14,695,121,5,N
15,1212,132,5,N
16,951,119,5,N
17,389,108,5,N
18,675,111,5,N
19,1253,103,5,N
20,501,106,5,N
21,466,103,5,N
22,3,3,5,N
23,606,92,5,N
24,5,5,5,N
25,812,162,5,N
26,864,134,5,N
27,473,96,5,N
28,5,5,5,N
29,7,5,5,N
30,956,130,5,N
31,755,114,5,N
32,501,146,5,N
33,636,127,5,N
34,794,108,5,N
35,823,110,5,N
36,683,112,5,N
37,997,150,5,N
38,1010,124,5,N
39,489,124,5,N
40,731,103,5,N
41,984,133,5,N
42,637,107,5,N
43,576,120,5,N
44,808,135,5,N
45,9,9,5,N
46,658,140,5,N
47,843,113,5,N
48,874,107,5,N
49,610,112,5,N
50,391,88,5,N
